Game,Sentence ,Label,Tokens 
,"Before beginning their turn, each player are obligated to draw a card from the deck.",Duty,"['Before', 'beginning', 'their', 'turn', ',', 'each', 'player', 'are', 'obligated', 'to', 'draw', 'a', 'card', 'from', 'the', 'deck', '.']"
,"If a player has not drawn a card after making their move, their next turn is foregone.",Duty,"['If', 'a', 'player', 'has', 'not', 'drawn', 'a', 'card', 'after', 'making', 'their', 'move', ',', 'their', 'next', 'turn', 'is', 'foregone', '.']"
,"If a player forgets to say 'Uno' after their second-to-last card, they must draw two additional cards as a penalty.",Duty,"['If', 'a', 'player', 'forgets', 'to', 'say', ""'Uno'"", 'after', 'their', 'second-to-last', 'card', ',', 'they', 'must', 'draw', 'two', 'additional', 'cards', 'as', 'a', 'penalty', '.']"
,"The participants gather in a circular formation, and the dealer thoroughly mixes the card deck.",Act,"['The', 'participants', 'gather', 'in', 'a', 'circular', 'formation', ',', 'and', 'the', 'dealer', 'thoroughly', 'mixes', 'the', 'card', 'deck', '.']"
,A player extracts a card from the deck and incorporates it into their set of cards.,Act,"['A', 'player', 'extracts', 'a', 'card', 'from', 'the', 'deck', 'and', 'incorporates', 'it', 'into', 'their', 'set', 'of', 'cards', '.']"
,"Prior to the commencement of gameplay, a dealer needs to be chosen.",Act,"['Prior', 'to', 'the', 'commencement', 'of', 'gameplay', ',', 'a', 'dealer', 'needs', 'to', 'be', 'chosen', '.']"
,"In order to accomplish this, participants will select a card at random from a shuffled deck.",Act,"['In', 'order', 'to', 'accomplish', 'this', ',', 'participants', 'will', 'select', 'a', 'card', 'at', 'random', 'from', 'a', 'shuffled', 'deck', '.']"
,"To begin their turn, participants will choose a card either from the stockpile or the discard pile.",Act,"['To', 'begin', 'their', 'turn', ',', 'participants', 'will', 'choose', 'a', 'card', 'either', 'from', 'the', 'stockpile', 'or', 'the', 'discard', 'pile', '.']"
,Bingo is a card game for four or more players.,Fact,
,Players arrange themselves in a circle.,Act,
,Each player draws 1 card from the top of the pile.,Act,
,The dealer is the player with the lowest card.,Fact,
,The dealer picks up the deck of 52 cards.,Act,
,The dealer deals 7 cards to each player.,Act,
,"Players should only place their cards face down of the table, as per the dealer's instructions.",Duty,
,The dealer distributes a total of 7 cards to each player.,Act,
,The dealer gathers the deck consisting of 52 cards.,Act,
,The designated dealer is the player holding the lowest card.,Fact,
,Every player picks a single card from the stack's top.,Act,
,Players organize themselves in a circular formation.,Act,
,Bingo is a card game designed for four or more players.,Fact,
,Players win cards by matching cards in the middle with cards from their hands.,Act,
,"Before gameplay can begin, the order of play must first be established.",Act,
,The deck is shuffled by the dealer before distributing six cards to each player.,Duty,
,Trump for the round is determined by the first card revealed.,Fact,
,"Starting with the dealer leading the first card, players attempt to follow suit or play a trump, proceeding clockwise.",Act,
,Securing the trick is achieved by playing the highest card. ,Fact,
,The company policy states that employees are entitled to two weeks of paid vacation per year.,Fact,
,"In the building code, it is specified that fire exits must be clearly marked and accessible.",Fact,
,"According to the terms of the contract, the supplier is obligated to deliver the goods by the specified date.",Fact,
,The academic calendar outlines the schedule for exams and holidays throughout the school year.,Fact,
,The software license agreement stipulates that users cannot distribute the software without permission.,Fact,
,The employee handbook instructs staff members to report any workplace accidents immediately.,Act,
,The student code of conduct prohibits plagiarism and outlines consequences for violations.,Act,
,Managers are required to conduct annual performance reviews as per company policy.,Act,
,Residents must recycle according to the guidelines set forth by the waste management regulations.,Act,
,The safety manual details the proper procedures for handling hazardous materials.,Act,
,It is the duty of all employees to adhere to the company's code of ethics.,Duty,
,Tenants have a responsibility to inform the landlord of any necessary repairs in a timely manner.,Duty,
,"As outlined in the community guidelines, homeowners have a duty to maintain their property.",Duty,
,Participants in the clinical trial have a duty to follow the prescribed medication schedule.,Duty,
,"In the environmental policy, there is a duty for employees to minimize waste and conserve resources.",Duty,
,The project manager has the duty to ensure that the team meets project deadlines.,Duty,
,Students have a duty to respect the academic integrity policy and avoid cheating.,Duty,
,All members of the organization have a duty to report any observed violations of the safety protocols.,Duty,
,"As part of the customer service policy, staff members have a duty to address customer complaints promptly.",Duty,
,The handbook outlines the duty of confidentiality that employees must maintain regarding sensitive information.,Duty,
